timestamp,home_odds,away_odds,over_odds,under_odds,spread_line,total_line,odds_source,odds_quality_status,suspicious_odds_reason,bookmaker_quotes
2026-06-01T22:19:42.927175,1.76,2.1,1.8,2.04,-1.5,7.0,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-01T22:19:13Z"", ""home_moneyline_odds"": 1.77, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.76, ""total_line"": 7.0, ""over_odds"": 1.82, ""under_odds"": 2.0}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-01T22:19:12Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.65, ""total_line"": 7.0, ""over_odds"": 1.8, ""under_odds"": 2.05}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-01T22:19:13Z"", ""home_moneyline_odds"": 1.76, ""away_moneyline_odds"": 2.08, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.63, ""total_line"": 7.0, ""over_odds"": 1.8, ""under_odds"": 2.04}]"
2026-06-01T22:19:42.969314,1.66,2.28,1.95,1.87,-1.5,7.5,FanDuel,OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-01T22:19:14Z"", ""home_moneyline_odds"": 1.66, ""away_moneyline_odds"": 2.28, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 7.5, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-01T23:04:40.696618,1.76,2.1,2.04,1.8,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-01T23:04:00Z"", ""home_moneyline_odds"": 1.77, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.72, ""total_line"": 7.5, ""over_odds"": 2.04, ""under_odds"": 1.78}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-01T23:04:40Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.1, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.65, ""total_line"": 7.5, ""over_odds"": 2.0, ""under_odds"": 1.83}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-01T23:04:20Z"", ""home_moneyline_odds"": 1.76, ""away_moneyline_odds"": 2.09, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.63, ""total_line"": 7.5, ""over_odds"": 2.04, ""under_odds"": 1.8}]"
2026-06-01T23:04:40.737785,1.66,2.28,1.95,1.87,-1.5,7.5,FanDuel,OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-01T23:04:00Z"", ""home_moneyline_odds"": 1.66, ""away_moneyline_odds"": 2.28, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 7.5, ""over_odds"": 1.95, ""under_odds"": 1.87}]"
2026-06-02T02:26:16.124634,1.43,2.75,1.88,1.88,-1.5,5.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T02:26:13Z"", ""home_moneyline_odds"": 1.43, ""away_moneyline_odds"": 2.8, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.3, ""total_line"": 5.5, ""over_odds"": 1.88, ""under_odds"": 1.88}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T02:24:32Z"", ""home_moneyline_odds"": 1.44, ""away_moneyline_odds"": 2.75, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.35, ""total_line"": 5.5, ""over_odds"": 1.91, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T02:25:14Z"", ""home_moneyline_odds"": 1.43, ""away_moneyline_odds"": 2.74, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.26, ""total_line"": 5.5, ""over_odds"": 1.85, ""under_odds"": 1.9}]"
2026-06-02T02:26:16.162467,1.665,2.255,1.985,1.845,-1.5,7.5,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T02:26:13Z"", ""home_moneyline_odds"": 1.66, ""away_moneyline_odds"": 2.28, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 7.5, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T02:25:14Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.23, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.39, ""total_line"": 7.5, ""over_odds"": 2.02, ""under_odds"": 1.82}]"
2026-06-02T03:08:51.953412,3.2,1.34,2.25,1.62,1.5,5.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T03:08:19Z"", ""home_moneyline_odds"": 3.2, ""away_moneyline_odds"": 1.34, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.49, ""total_line"": 5.5, ""over_odds"": 2.18, ""under_odds"": 1.63}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T03:08:37Z"", ""home_moneyline_odds"": 3.2, ""away_moneyline_odds"": 1.35, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.48, ""total_line"": 5.5, ""over_odds"": 2.25, ""under_odds"": 1.62}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T03:08:18Z"", ""home_moneyline_odds"": 3.11, ""away_moneyline_odds"": 1.34, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.48, ""total_line"": 5.5, ""over_odds"": 2.34, ""under_odds"": 1.57}]"
2026-06-02T03:08:51.994094,1.665,2.255,1.985,1.845,-1.5,7.5,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T03:08:19Z"", ""home_moneyline_odds"": 1.66, ""away_moneyline_odds"": 2.28, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 7.5, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T03:08:18Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.23, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.39, ""total_line"": 7.5, ""over_odds"": 2.02, ""under_odds"": 1.82}]"
2026-06-02T03:52:48.840990,1.7,2.11,1.91,1.85,1.5,5.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T03:52:38Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.12, ""home_spread_line"": -1.5, ""home_spread_odds"": 7.3, ""total_line"": 5.5, ""over_odds"": 1.98, ""under_odds"": 1.77}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T03:52:00Z"", ""home_moneyline_odds"": 1.74, ""away_moneyline_odds"": 2.05, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.18, ""total_line"": 5.5, ""over_odds"": 1.87, ""under_odds"": 1.91}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T03:52:19Z"", ""home_moneyline_odds"": 1.69, ""away_moneyline_odds"": 2.11, ""home_spread_line"": 1.5, ""home_spread_odds"": 1.21, ""total_line"": 5.5, ""over_odds"": 1.91, ""under_odds"": 1.85}]"
2026-06-02T03:52:48.879559,1.665,2.255,1.985,1.845,-1.5,7.5,"DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T03:52:38Z"", ""home_moneyline_odds"": 1.66, ""away_moneyline_odds"": 2.28, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.46, ""total_line"": 7.5, ""over_odds"": 1.95, ""under_odds"": 1.87}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T03:52:19Z"", ""home_moneyline_odds"": 1.67, ""away_moneyline_odds"": 2.23, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.39, ""total_line"": 7.5, ""over_odds"": 2.02, ""under_odds"": 1.82}]"
2026-06-02T08:29:56.094279,1.69,2.2,2.0,1.83,-1.5,7.5,"BetMGM, DraftKings, FanDuel",OK,,"[{""bookmaker"": ""FanDuel"", ""bookmaker_key"": ""fanduel"", ""last_update"": ""2026-06-02T08:29:32Z"", ""home_moneyline_odds"": 1.65, ""away_moneyline_odds"": 2.3, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.38, ""total_line"": 7.5, ""over_odds"": 1.96, ""under_odds"": 1.85}, {""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T08:28:56Z"", ""home_moneyline_odds"": 1.7, ""away_moneyline_odds"": 2.19, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.41, ""total_line"": 7.5, ""over_odds"": 2.02, ""under_odds"": 1.82}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T08:29:16Z"", ""home_moneyline_odds"": 1.69, ""away_moneyline_odds"": 2.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.4, ""total_line"": 7.5, ""over_odds"": 2.0, ""under_odds"": 1.83}]"
2026-06-02T12:41:58.553006,1.69,2.1950000000000003,1.99,1.84,-1.5,7.5,"BetMGM, DraftKings",OK,,"[{""bookmaker"": ""DraftKings"", ""bookmaker_key"": ""draftkings"", ""last_update"": ""2026-06-02T12:41:43Z"", ""home_moneyline_odds"": 1.69, ""away_moneyline_odds"": 2.19, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.42, ""total_line"": 7.5, ""over_odds"": 1.98, ""under_odds"": 1.85}, {""bookmaker"": ""BetMGM"", ""bookmaker_key"": ""betmgm"", ""last_update"": ""2026-06-02T12:39:30Z"", ""home_moneyline_odds"": 1.69, ""away_moneyline_odds"": 2.2, ""home_spread_line"": -1.5, ""home_spread_odds"": 2.4, ""total_line"": 7.5, ""over_odds"": 2.0, ""under_odds"": 1.83}]"
